pairID,gold_label,Sentence1,Sentence2,Explanation_1,WorkerId,Sentence1_marked_1,Sentence2_marked_1,Sentence1_Highlighted_1,Sentence2_Highlighted_1,Explanation_2,Sentence1_marked_2,Sentence2_marked_2,Sentence1_Highlighted_2,Sentence2_Highlighted_2,Explanation_3,Sentence1_marked_3,Sentence2_marked_3,Sentence1_Highlighted_3,Sentence2_Highlighted_3,assigned_to,structured_explanation
6157403653.jpg#0r1n,neutral,"Here are two men, one carrying a kayak over his head, the other carrying the paddles, both wearing the same color and type of clothing, yellow shirts and black shorts running down an empty sandy road.",Two men are walking to the river.,To the river is not necessarily on a sandy road.,A1IKCTBJS3X6CI,"Here are two men, one carrying a kayak over his head, the other carrying the paddles, both wearing the same color and type of clothing, yellow shirts and black shorts running down an empty sandy road.",Two men are walking *to* *the* *river.*,{},"4,5,2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cecilia,
4891462499.jpg#1r2n,neutral,Two men in black shirts are standing outdoors near a few other people in the grass.,Two men are talking while others are lying on a blanket in the grass.,Standing outdoors does not necessarily mean talking.,A3MOH6X140NNB9,Two men in black shirts are standing outdoors near a few other people in the grass.,Two men are *talking* while others are lying on a blanket in the grass.,{},3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cecilia,¬(Standing outdoors → talking)
972381743.jpg#3r1n,neutral,a woman with a shaved head dressed in black and white in a parade,A chemo patient is celebrating a parade.,That the woman has a shaved head does not necessarily mean she is a chemo patient.,A3MZ8B1SH4CXBO,a woman with a shaved head dressed in black and white in a parade,A *chemo* *patient* is celebrating a parade.,{},"1,2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cecilia,¬(That the woman has been shaved head → she is a chemo patient)
3627076769.jpg#2r1n,neutral,Two women drinking from green bottles as they sit.,Two women drinking from green bottles as they sit on fluffy pillows.,Just because the women are drinking from green bottles as they sit doesn't mean they are sitting on pillows.,A3OASWU27ADQ4L,Two women drinking from green bottles as they sit.,Two women drinking from green bottles as they sit on fluffy *pillows.*,{},11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cecilia,¬(they sit → they are sitting on pillows)
6482557081.jpg#4r4n,neutral,Two black women in fancy uniforms,they are at work,The women may not be at work in their fancy uniforms.,A38PTH09OIAQO8,Two black women in fancy uniforms,they are at *work*,{},3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cecilia,
294074951.jpg#4r1n,neutral,Three men are playing music together.,One of the three men plays the drums.,Many musical groups with three instruments do not include drums,A5U8MWX933TXP,Three men are playing music together.,One of the three men plays the *drums.*,{},7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cecilia,
5850474494.jpg#0r3n,neutral,A man washing windows is suspended outside a building on a seat on a rope with a bucket hanging on the side of the seat.,A window washer is washing windows on a higher floor of a building,The fact that a man washing windows is suspended outside a building on a seat on a rope with a bucket hanging on the side of the seat does not imply he is washing windows on a higher floor of a building.,A5BMA5POGL8DW,A man washing windows is suspended outside a building on a seat on a rope with a bucket hanging on the side of the seat.,A window washer is *washing* *windows* *on* *a* *higher* *floor* *of* *a* *building*,{},"8,9,10,5,6,7,11,12,4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cecilia,¬(The fact that a man washing windows is suspended outside a building on a seat on a rope with a bucket hanging on the side of the seat → he is washing windows on a higher floor of a building)
230756074.jpg#1r1n,neutral,Brightly dressed indian females kneel to bag up cloth.,The weavers in bright saris are collecting their fabric in bags.,The brightly dressed indian females kneeling are weavers in bright saris collecting their fabric.,A3OFPA1NPLZR5K,Brightly dressed indian females kneel to bag up cloth.,The *weavers* *in* *bright* *saris* are *collecting* *their* *fabric* in bags.,{},"1,2,3,4,6,7,8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cecilia,
4641280657.jpg#1r1n,neutral,A woman talks on her cellphone while walking past a construction area.,A woman is wearing a red dress and carrying a large grey purse.,The woman is not necessarily wearing a red dress and carrying a large grey purse.,AWE53FI9QHSD2,A woman talks on her cellphone while walking past a construction area.,A woman is *wearing* a *red* *dress* and *carrying* a *large* *grey* *purse.*,{},"3,6,5,8,10,11,12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cecilia,
3759492488.jpg#2r1n,neutral,The boy is swinging on a pole at the beach.,The weather at the beach is clear,Just because a boy is at the beach it does not mean the weather is clear.,A1Y43ZZC64O0J9,The boy is swinging on a pole at the beach.,The *weather* at *the* *beach* *is* *clear*,{},"1,4,3,6,5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cecilia,¬(Just because a boy is at the beach → the weather is clear)
4865304495.jpg#4r1c,contradiction,A shirtless man running on a boat dock.,The man is planting flowers,You can't really plant flowers while running on a boat dock.,A3JGW4RGO86NPX,A shirtless man *running* *on* *a* *boat* *dock.*,The man is *planting* *flowers*,"3,4,5,6,7","3,4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deniz,
3232030272.jpg#0r3c,contradiction,A woman with a white jacket and black pants is walking down the sidewalk in front of a banner advertising hamburgers.,a woman is driving a truck,If walking you cant drive at the same time and if your focus on driving a truck you can not advertise on the side walk.,A370SKIIB942U8,A woman with a white jacket and black pants is *walking* down the sidewalk in front of a banner advertising hamburgers.,a woman is *driving* a truck,10,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deniz,"walking ⇒ cant drive at the same time.
focus on driving a truck ⇒ can not advertise on the side walk."
4885361477.jpg#0r2c,contradiction,"Two young men walk toward the camera, with the redheaded man on the left turning his head to look back at three women in the background who are walking away in the other direction.","Two young men in space suits walk towards a camera on the moon, there is no one else around.",The two men in space suits on the moon are alone while the other two men have company of three women in background.,A33AMV3OAYJOU4," Two young *men* *walk* toward the camera, with the redheaded man on the left turning his head to *look* *back* at *three* *women* in the *background* who are walking away in the other direction."," Two young *men* in space suits *walk* towards a camera *on* the *moon,* there is *no* *one* *else* *around.*","2,3,18,19,21,22,25","2,6,10,12,15,16,17,18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deniz,
6147066205.jpg#4r1c,contradiction,A person sits in front of clay.,Two kids running in a park.,A person who is sitting can not be two kids running.,AB8FEGGUOZXXA,A *person* *sits* in front of clay.,*Two* *kids* *running* in a park.,"1,2","2000,1,2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deniz,
6033533190.jpg#3r1c,contradiction,A worker searches for the correct tool in their briefcase.,A businessman searches for the correct paper in their briefcase.,The worker is either looking for a tool or a paper.,A2027D8EZOU608,A worker searches for the correct *tool* in their briefcase.,A businessman searches for the correct *paper* in their briefcase.,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deniz,tool ⊕ paper
2314958979.jpg#3r1c,contradiction,Young boy in a white baseball uniform hitting a baseball with a blue bat.,A child is playing with a soccer ball.,Its can either be a baseball or soccer ball not both,A1F0JJ251H7EP8,Young boy in a white baseball uniform hitting a *baseball* with a blue bat.,A child is playing with a *soccer* ball.,9,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deniz,baseball ⊕ soccer 
3417662443.jpg#4r1c,contradiction,The man is wearing a spiderman outfit.,A dog and a pig play in some mud.,The man is not a dog.,A38R689MVZST8Q,The *man* is wearing a spiderman outfit.,A *dog* and a pig play in some mud.,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deniz,man ⊈ dog
4730135526.jpg#3r1c,contradiction,Protesters are demonstrating against violence in Iran.,They are having a peaceful conversation.,One cannot be demonstrating and have a peaceful conversation simultaneously.,A68JZJUJH39AU,Protesters are *demonstrating* against violence in Iran.,They are having a *peaceful* *conversation.*,2,"4,5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deniz,
979201222.jpg#0r1c,contradiction,Two girls are walking away from the camera under a walkway.,The girls are eating at a restaurant.,The girls can either be under a walkway or at a restaurant.,AZIAQJWXTSFUX,Two girls are walking away from the camera *under* *a* *walkway.*,The girls are eating *at* *a* *restaurant.*,"10,8,2009","6,4,2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deniz,under a walkway ⊕ at a restaurant
128395941.jpg#3r1c,contradiction,Two people riding bikes next to a railroad.,The people are playing video games.,Riding bikes is not the same as playing video games.,A6Z4KMP9QF1HN,Two people *riding* *bikes* next to a railroad.,The people are *playing* *video* *games.*,"2,3","4,5,2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deniz,Riding bikes not ↔ playing video games.
4981165601.jpg#1r1e,entailment,A man enjoying a mountainous view in the rain holding an umbrella.,It is raining.,Use an umbrella when it's raining.,A10Z7NLSO1VS9P,A man enjoying a mountainous view in the rain holding an *umbrella.*,It is *raining.*,11,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deniz,
4112704699.jpg#1r1e,entailment,"A woman is crossing the street, the camera's view is from between two buses.",A woman crosses the street near buses.,"If the view was from between buses, the woman therefore must be near the buses.",A29FOF9JEVE08E," A woman is crossing the street, the camera's *view* is *from* *between* two *buses.*",A woman crosses the street *near* *buses.*,"8,10,11,13","5,6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deniz,
1299817309.jpg#0r4e,entailment,"A man and his friend hiking in a mountain near Bakersfield, California.",A man and his friend are hiking.,You cannot be on a mountain and hiking.,A3PQZBSG65FSTE," A man and his friend hiking in a *mountain* near Bakersfield, California.",A man and his friend are *hiking.*,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deniz,
3559425864.jpg#2r1e,entailment,Two BMX bikers jumping dirt ramps in front of a body of water.,Bikers going over jumps in front of water.,Going over jump is way to rephrase jumping dirt ramps.,AGDWUYES6DFJH,Two BMX bikers *jumping* *dirt* *ramps* in front of a body of water.,Bikers *going* *over* *jumps* in front of water.,"3,4,2005","1,2,2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deniz,going over jump ↔ jumping dirt ramps
6971868744.jpg#3r1e,entailment,Bicyclers waiting for a race to began as onlookers watch.,bicyclers about to race,The bicyclers are waiting because they are about to race.,AOHR6RNN7QSR2,*Bicyclers* waiting for a *race* to began as onlookers watch.,*bicyclers* *about* to *race*,"0,4","1,0,3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deniz,
2323096887.jpg#4r1e,entailment,A surfer riding a big wave.,The surfer is outside,Riding a wave means one is outside.,A195LN7C3VWZI8,A surfer *riding* *a* big *wave.*,The surfer is *outside*,"2,3,2005",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deniz,Riding a wave → one is outside.
230486268.jpg#1r1e,entailment,A boy wearing a red shirt digs into the sand with a yellow shovel.,The boy is playing in the sand.,Digs into the sand is a way of saying playing in the sand.,A2FSD3RHVYL3CS,A boy wearing a red shirt *digs* *into* *the* *sand* with a yellow shovel.,The boy is playing in the sand.,"6,7,8,9",{},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deniz,Digs into the sand ↔ playing in the sand.
462704170.jpg#0r5e,entailment,A man wearing a yellow vest and gray fisherman's cap is sitting in a red chair along with another similarly dressed man in a red chair next to him.,Two people sitting in chairs.,"There is a man sitting in a red chair with another man, which is two people.",A24ZU6XMYAN18O,A *man* wearing a yellow vest and gray fisherman's cap is *sitting* *in* a red *chair* along *with* *another* similarly dressed *man* in a red chair next to him.,*Two* *people* *sitting* *in* *chairs.*,"1,11,12,15,21,18,17","1,2,3,4,0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deniz,
4509183066.jpg#4r1e,entailment,Men playing frisbee in the woods.,A group enjoying a game.,"Men is plural, which would mean a group.  Frisbee is a type of game.",A3NDLSXP6GNCYZ,*Men* playing *frisbee* in the woods.,A *group* enjoying a *game.*,"0,2","1,4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deniz,Frisbee ⊆ game
1386964743.jpg#1r1e,entailment,a boy is playing with a camera whilst standing on a dirt track.,A boy has a camera.,A boy playing with a camera means that he has a camera.,AH0OMQP35UPYL,a boy is *playing* *with* *a* *camera* whilst standing on a dirt track.,A boy *has* *a* *camera.*,"3,4,5,6","2,3,2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deniz,A boy playing with a camera → he has a camera.
3701699584.jpg#4r1c,contradiction,A male tennis player hits a tennis ball at a tennis match.,A man is painting with his wife.,A man can either only playing tennis or painting.,AQNFR64DY5OY8,A male tennis *player* hits a tennis ball at a *tennis* *match.*,A man is *painting* with his wife.,"3,10,11",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cecilia,only playing tennis ⊕ painting
2894217628.jpg#1r5c,contradiction,"A holder and kicker for a football team dressed in orange, white and black play while onlookers behind them watch.",Two men are jet skiing indoors whilst being chased by tigers.,"It is impossible to be jet skiing indoors and also be chased by tigers, even if you are on a football team.",A15GDVKMYRUPRC," A holder and kicker for a *football* *team* dressed in orange, white and black play while onlookers behind them watch.",Two men are *jet* *skiing* *indoors* whilst being chased by *tigers.*,"6,7","3,4,5,10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cecilia,
173020287.jpg#0r3c,contradiction,"A man stands with his arm up in the air, holding a stick, while a dog jumps up.",A woman sits with her arms by her side while a dog sits behind her.,There can be either a man or a women.,A3GSN49YWM9CLD," A *man* stands with his arm up in the air, holding a stick, while a dog jumps up.",A *woman* sits with her arms by her side while a dog sits behind her.,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cecilia,
2057262566.jpg#1r1c,contradiction,A bald man with glasses is cutting into a turkey on the dinner table.,"A bald man is lying on his stomach, as he ate too much food.",A man wouldn't usually be lying on his stomach while cutting something on the dinner table.,AVYG1RU7EWZKG,A bald man with glasses is *cutting* into a turkey *on* *the* *dinner* *table.*," A bald man is *lying* *on* *his* *stomach,* as he ate too much food.","6,10,11,12,13","4,5,6,7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cecilia,a man ⊕ a woman
4671818924.jpg#0r5c,contradiction,"On a sidewalk, tall man in a black shirt and a police officer with their backs to the viewer walk past a man in a white t-shirt, black shorts, and sandals.",People swimming in the middle of the ocean.,A sidewalk is not located in the middle of the ocean.,AKVBQWN662MRU," On a *sidewalk,* tall man in a black shirt and a police officer with their backs to the viewer walk past a man in a white t-shirt, black shorts, and sandals.",People swimming in the *middle* *of* *the* *ocean.*,2,"4,7,5,6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cecilia,
3512747808.jpg#3r1c,contradiction,Two women are smiling while sitting at the table.,they dont have lips,The women can't be smiling if they don't have lips.,A32EGWPXAEKOW5,Two women are *smiling* while sitting at the table.,they dont have *lips*,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cecilia,
4524224528.jpg#1r4c,contradiction,A woman using her cellphone on a sidewalk with three people talking amongst themselves in the background.,A boy rides his bike by a group of people.,A woman is not a boy.,A4JP9GRM1AZPS,A *woman* using her cellphone on a sidewalk with three people talking amongst themselves in the background.,A *boy* rides his bike by a group of people.,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cecilia,woman ⊈ boy
6205942474.jpg#0r1c,contradiction,"A bicyclist is shown airborne with his bike at a vertical attitude above a marsh, with a river, a bridge, and an industrial plant in the background.",A bicyclist leads the pack at the tour de france race.,He can not be shown vertically airborne while leading the pack.,AX53FYPM9WY2X," A bicyclist is *shown* *airborne* with his bike at a vertical attitude above a marsh, with a river, a bridge, and an industrial plant in the background.",A bicyclist *leads* the pack at the tour de france race.,"4,3",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cecilia,
4569102627.jpg#0r1c,contradiction,Little girl just getting up in the morning drinking apple juice.,A little girl has just fell over to drink a gun juice.,Getting ups does not mean she just fell. Apple juice is not gun juice.,A3UFVTU6N1IH1Z,Little girl just *getting* *up* in the morning drinking *apple* *juice.*,A little girl has *just* *fell* over to drink a *gun* *juice.*,"3,4,9,10","4,5,10,11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cecilia,¬(getting up → just fell) ∧ Apple juice ⊈ gun juice
3311352793.jpg#0r1c,contradiction,A young man is diving forward on an inflatable pool with two boys in the background.,A man sitting in a chair.,He can't be sitting and diving at the same time.,AZPKTC1Q8PMNT,A young man is *diving* forward on an inflatable pool with two boys in the background.,A man *sitting* in a chair.,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cecilia,
169490297.jpg#0r5n,neutral,"A boy in a blue, yellow, and orange shirt holding his arms out from his sides.",The shirt is new.,it's a new shirt.,A1ADFGOJRQM0VY,"A boy in a blue, yellow, and orange shirt holding his arms out from his sides.",The shirt is *new.*,{},3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sam,
4980845265.jpg#1r1n,neutral,An older woman shows a younger male child a reptilian animal while a young girl sits in the background.,A woman is showing a child a lizards as another child watches.,A reptilian animal does not necessarily mean lizards. Just because a young girl sits in the background does not mean she watches.,AWE53FI9QHSD2,An older woman shows a younger male child a reptilian animal while a young girl sits in the background.,A woman is showing a child a *lizards* as another child *watches.*,{},"7,11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sam,¬(A reptilian animal → lizard) ∧ ¬(sits in the background → watches)
5091237679.jpg#1r1n,neutral,A woman in a green shirt is leaping slightly in front of a large metal sculpture.,A woman wearing green skirt leaping in the air next to a large metal sculpture of a sport hero outside.,You can not infer there is a sport hero.,A3TIRLWM8AB3JY,A woman in a green shirt is leaping slightly in front of a large metal sculpture.,A woman wearing green skirt leaping in the air next to a large metal sculpture of a *sport* *hero* outside.,{},"17,18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sam,¬ ( → there is a sport hero)
7348289414.jpg#3r5n,neutral,A toddler eats a green apple in his playpen outside.,The toddler is outside in his playpen during his parents picnic.,Being in a playpen outside does not imply it is during his parents picnic.,A2TZAXWOB3JMNV,A toddler eats a green apple in his playpen outside.,The toddler is outside in his playpen *during* his *parents* *picnic.*,{},"7,9,10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sam,¬(being in a playpen outside → during parents picnic)
325470375.jpg#2r1n,neutral,A little boy dressed in a green shirt and jeans hitting a pinata in the shape of a blue race car with a brown bat.,The little boy is at his birthday party.,A little boy dressed in a green shirt and jeans hitting a piñata does not necessarily imply the boy is at his birthday party.,A2A4LHPXF2E2GS,A little boy dressed in a green shirt and jeans hitting a pinata in the shape of a blue race car with a brown bat.,The little boy is *at* *his* *birthday* *party.*,{},"4,5,6,7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sam,¬(hitting a pinata → at his birthday party)
2396100671.jpg#4r1n,neutral,A child in a dragon costume on a bike.,a child wearing a red dragon costume on a bike,A dragon costume doesn't have to be red.,A8LG8A108O83V,A child in a dragon costume on a bike.,a child wearing a *red* dragon costume on a bike,{},4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sam,¬(dragon costume → red)
3661230589.jpg#3r4n,neutral,A person is jumping in the air in the center of a roadway.,A man performs at a street fair.,A person is not necessarily a man. The act of jumping is not necessarily a performance. A roadway is not necessarily the site of a street fair.,ATG1ZFQ304EJN,A person is jumping in the air in the center of a roadway.,A *man* *performs* at a *street* *fair.*,{},"1,2,6,5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sam,person ⊈ a man ∧ ¬(roadway ↔ the site of a street fair)
4705657814.jpg#3r1n,neutral,A boy stands in a fountain with a his shirt half off as others watch.,The boy is seeking attention.,"Just because a boy is standing in a fountain with his half shirt off and others watching, doesn't necessarily imply that he is seeking attention.",A19KWRLD7P57VJ,A boy stands in a fountain with a his shirt half off as others watch.,The boy is *seeking* *attention.*,{},"3,4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sam,¬(standing in a fountain with his half shirt off and other watching → seeking attention)
2557059247.jpg#4r1n,neutral,A white-haired man sculpting.,A white-hair man is making a dog statue.,A white-haired man sculpting does not mean that he is making a dog statue.,A18HC62T1SROBJ,A white-haired man sculpting.,A white-hair man is making a *dog* *statue.*,{},"6,7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sam,¬(sculpting → making a dog statue)
2545723691.jpg#0r2n,neutral,And eerie photo depicting a female from behind as she walks through what looks like a narrow and poorly lit concrete tunnel with a rounded ceiling.,A woman has gotten lost and ended up in this tunnel.,SHE MAY NOT BE LOST.,A2IHW2L1D0SLCN,And eerie photo depicting a female from behind as she walks through what looks like a narrow and poorly lit concrete tunnel with a rounded ceiling.,A woman has gotten *lost* and ended up in this tunnel.,{},4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sam,¬( → lost)
6474894623.jpg#4r1c,contradiction,A layup looks like it's about to go in.,A layup looks like it's about to go into another dimension.,"A layup would look like its about to go in to a goal, not another dimension.",ACJTRTT2SO4E0,A *layup* looks like it's about to go *in.*,A *layup* looks like it's about to go into *another* *dimension.*,"1,8","1,9,10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sam,¬(in ↔ another dimension)
1464813188.jpg#4r3c,contradiction,"There are two children at home, playing.",The kids are doing homework.,Children at home playing can not be doing homework.,A2U31V169A20GY," There are two children *at* *home,* *playing.*",The kids are *doing* *homework.*,"4,5,2006","4,3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sam,playing ⊕ doing homework
2789150281.jpg#3r1c,contradiction,A man is looking at pieces of cloth at an outside market.,a man is shopping indoors for groceries,"one is outdoors, the other is indoors",AT60ESWGVSAG9,A man is looking at pieces of cloth at an *outside* *market.*,a man is shopping *indoors* for groceries,"10,11",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sam,¬(outdoors ↔ indoors)
4928593125.jpg#4r2c,contradiction,People walk down a street during a rainy day.,It is a bright and sunny day outside.,The day can be either rainy or bright and sunny.,A2HKTM4Z8652,People walk down a street during a *rainy* *day.*,It is a *bright* *and* *sunny* *day* outside.,"7,8","3,4,5,6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sam,rainy ⊕ bright and sunny
3282832381.jpg#4r1c,contradiction,A small boy is playing with a laundry basket on his head.,A cat is asleep in a laundry basket.,A cat would not be asleep in the laundry basket if the boy is playing with the laundry basket on his head.  This would not be typical cat behavior.,A1SJ0CUO1N84GA,A small *boy* is playing with a laundry basket on his *head.*,A *cat* is *asleep* in a laundry basket.,"11,2","1,3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sam,¬(boy playing with a basket on his head → cat is not asleep in the basket)
6284697322.jpg#3r4c,contradiction,Three children writing intently in a classroom.,The children are outside on the playground.,In a classroom is not outside on the playground.,AVYG1RU7EWZKG,Three children writing intently *in* *a* *classroom.*,The children are *outside* *on* *the* *playground.*,"4,5,2006","3,4,5,6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sam,¬(in a classroom ↔ outside on the playground)
4676311394.jpg#4r1c,contradiction,Two men in dark raincoats walk past some women.,The men were inside of the mens bathroom.,The men wouldn't be wearing dark raincoats inside. There wouldn't be women in the men's bathroom.,A330E8HHBLEGMP,Two men in *dark* *raincoats* *walk* *past* some women.,The men were *inside* of the mens *bathroom.*,"5,6,3,4","3,7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sam,inside → ¬ wearing dark raincoats ∧ men's bathrooms → ¬ women
5350952226.jpg#1r1c,contradiction,Three ballerinas in pink enter synchronized poses as part of a routine.,A bear in a tutu mauls a lumberjack.,There are either three ballerinas or a bear. They can't enter synchronized poses and maul a lumberjack at the same time.,AJ4Y3PQ5KYZDX,*Three* *ballerinas* in pink *enter* *synchronized* *poses* as part of a routine.,A *bear* in a tutu *mauls* *a* *lumberjack.*,"1,0,4,5,6","1,5,6,7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sam,three ballerinas ⊕ bear
